Linha,Linha nome,Itinerário,Sentido
2411,S.SEB / FPOLIS VIA PV/AV TORRES/BR101/EXP,ITI VOLTA - FPOLIS / SÃO,PC2
2810,T.NOVA / FPOLIS VIA C.NOVO/BR101/EXPRESSA,ITI IDA - TERRA NOVA /,PC1
2811,C.NOVO / FPOLIS VIA T.NOVA/JARD/B.VISTA/P.IMA/I.SI,ITI IDA - C.NOVO / FPOLIS VIA T.,PC1
3032,GUARDA / PALHOÇA (PRAÇA) VIA ARIRIU,ITI - IDA - GUARDA / PALHOÇA,PC1
3033,FORMIGA / PONTE DO IMARUIM VIA GUARDA/ARIRIU,ITI IDA - ARIRIU FORMIGA /,PC1
3033,FORMIGA / PONTE DO IMARUIM VIA GUARDA/ARIRIU,ITI VOLTA - PONTE DO IMARUIM,PC2
3034,FORMIGA / COL CLAUDETE VIA GD/MQ/AZ/P.IMAR/E.,ITI IDA - FORMIGA - COLÉGIO,PC1
3034,FORMIGA / COL CLAUDETE VIA GD/MQ/AZ/P.IMAR/E.,ITI VOLTA - COLÉGIO CLAUDETE,PC2
3035,FORMIGA / P.IMARUIM VIA M.QUADROS/ARIRIU/A.,ITI IDA - ARIRIU FORMIGA /,PC1
3036,ARIRIU FORMIGA / COLÉGIO JOÃO SILVEIRA (ARIRIU),ITI IDA - ARIRIU FORMIGA /,PC1
3036,ARIRIU FORMIGA / COLÉGIO JOÃO SILVEIRA (ARIRIU),ITI VOLTA - COLÉGIO JOÃO,PC2
3037,FORMIGA / PALHOÇA VIA TABULEIRO/ARIRIU/A.ZACCHI,ITI IDA - ARIRIU FORMIGA /,PC1
3038,COLÉGIO JOÃO SILVEIRA (ARIRIU) / COLÉGIO DA,ITI IDA - COLÉGIO JOÃO,PC1
3232,GUARDA / P.IMARUIM VIA FORMIGA/ANICETO ZACCHI,ITI IDA - GUARDA / PONTE DO,PC1
3333,GUARDA / P.IMARUIM VIA GD TAB/ARIRIU/A.ZACCHI,ITI IDA - GUARDA DO CUBATAO /,PC1
3510,ARIRIU / FPOLIS VIA PALHOÇA/BR101/VIA EXP,ITI VOLTA - FLORIANÓPOLIS /,PC2
3511,ARIRIU / FPOLIS VIA PALHOÇA/BR 101/EXP/IVO SILV,ITI VOLTA - FPOLIS / ARIRIU VIA,PC2
3610,PACHECOS / FPOLIS VIA BR 101/HOSP REG/IVO,ITI IDA - PACHECOS /,PC1
